"","x"
"hsa.let.7c",0.000232564927165658
"hsa.let.7e",0.000472238480948201
"hsa.let.7g",0.000511615107102397
"hsa.let.7i",0.000233035478742011
"hsa.mir.101.1",0.000349146326348958
"hsa.mir.107",0.000315497413264952
"hsa.mir.126",0.000447949376179396
"hsa.mir.127",0.00026758960323876
"hsa.mir.1287",0.000267782507211262
"hsa.mir.132",0.000340186051103507
"hsa.mir.134",0.000369370650059707
"hsa.mir.140",0.000307273258291918
"hsa.mir.141",0.000337411114163234
"hsa.mir.142",0.00050960073617758
"hsa.mir.150",0.000257115797767973
"hsa.mir.152",0.000411364799455919
"hsa.mir.155",0.000477612916922749
"hsa.mir.16.2",0.000261710018158578
"hsa.mir.17",0.000408799182435479
"hsa.mir.184",0.00049698417155916
"hsa.mir.191",0.000404492841110152
"hsa.mir.196a.1",0.000424094351667112
"hsa.mir.199a.1",0.000233698110678885
"hsa.mir.199a.2",0.00046374239975359
"hsa.mir.19a",0.000444316620879201
"hsa.mir.203",0.000275312406449103
"hsa.mir.204",0.000396112241668432
"hsa.mir.20a",0.000878050577120182
"hsa.mir.21",0.000558717969285095
"hsa.mir.218.2",0.000237269996852675
"hsa.mir.219.1",0.000303664333122462
"hsa.mir.221",0.00046868267108386
"hsa.mir.222",0.000407672243971151
"hsa.mir.25",0.000245920025879749
"hsa.mir.27a",0.00041407080463425
"hsa.mir.299",0.000371286404520803
"hsa.mir.30a",0.000350062301038813
"hsa.mir.30c.1",0.000217283498023044
"hsa.mir.30e",0.000340205516442274
"hsa.mir.323",0.000254183849328258
"hsa.mir.33a",0.000223027969134691
"hsa.mir.34a",0.000725959933847964
"hsa.mir.34c",0.000252967044941243
"hsa.mir.487a",0.000245487120178763
"hsa.mir.543",0.000234809998248884
"hsa.mir.7.1",0.000247813180720627
"hsa.mir.877",0.000315021956169343
"hsa.mir.93",0.000816847378624743
"hsa.mir.99a",0.000316699871009058
"hsa.mir.99b",0.000274514845915988
